id,time,lng,lat,district,subway,price_per_square,total_price,year,month
BJCY86568817,2013-11-15,116.486941,39.927022,7,1.0,42337,245.0,2013,2013-11
BJCY90383734,2016-02-28,116.430562,40.045549,7,0.0,35704,235.0,2016,2016-02
BJFT91483838,2016-03-13,116.369206,39.856287,2,0.0,36621,303.0,2016,2016-03
BJHD88878829,2015-05-01,116.354653,39.977355,8,1.0,52825,346.0,2015,2015-05
BJCY86238965,2013-09-07,116.4388,40.054941,7,1.0,35993,240.0,2013,2013-09
BJCY91851133,2016-03-29,116.47773,40.002156,7,1.0,51476,375.0,2016,2016-03
BJCY92098790,2016-05-11,116.402242,39.973402,7,1.0,55711,319.0,2016,2016-05
101101153120,2017-02-26,116.497474,39.810115,3,1.0,49219,346.5,2017,2017-02
101101687553,2017-08-10,116.348433,39.897049,10,1.0,79073,450.0,2017,2017-08
101092151661,2016-08-14,116.334045,39.757413,4,1.0,23395,255.0,2016,2016-08
101100187005,2016-08-25,116.369191,39.955198,8,1.0,74880,465.0,2016,2016-08
101100766176,2016-11-15,116.655265,40.139222,13,1.0,40385,210.0,2016,2016-11
BJDX86601909,2013-11-22,116.354697,39.745721,4,0.0,24490,143.8,2013,2013-11
BJCY88991518,2015-04-26,116.473381,39.993011,7,1.0,37162,265.0,2015,2015-04
BJYZ90878783,2015-11-15,116.457814,39.770511,4,0.0,17122,155.0,2015,2015-11
BJDX91801421,2016-03-27,116.342088,39.749733,4,1.0,32346,179.0,2016,2016-03
BJCY88914157,2015-03-09,116.377846,40.018379,7,0.0,53884,460.0,2015,2015-03
BJHD91615390,2016-03-20,116.312942,39.928393,8,0.0,75273,428.0,2016,2016-03
BJFT89020525,2015-05-02,116.358042,39.847965,2,1.0,37279,590.0,2015,2015-05
BJCY91595535,2016-02-27,116.457173,39.96476,7,1.0,44256,270.0,2016,2016-02
BJHD89564054,2015-08-13,116.372841,40.080111,6,1.0,26981,209.5,2015,2015-08
BJFT91496640,2016-03-04,116.422681,39.857814,2,1.0,45241,423.0,2016,2016-03
BJCY91648936,2016-03-19,116.47638,39.875691,7,1.0,48826,580.0,2016,2016-03
101092295675,2016-06-23,116.41678,40.071013,6,1.0,24804,398.0,2016,2016-06
101100590436,2016-09-23,116.453917,39.881534,7,0.0,61236,690.0,2016,2016-09
101101049486,2017-02-09,116.642449,39.899814,11,1.0,66827,615.0,2017,2017-02
BJHD91404573,2016-03-02,116.340299,39.929294,8,1.0,62757,337.0,2016,2016-03
BJDC88890363,2015-05-11,116.440069,39.902423,1,1.0,68692,606.0,2015,2015-05
BJCY85450336,2013-04-30,116.442298,39.970551,7,1.0,40309,282.0,2013,2013-04
BJCY89741434,2015-07-26,116.520858,39.918846,7,1.0,30475,201.8,2015,2015-07
BJCY91528405,2016-02-01,116.457617,39.891517,7,1.0,46578,360.0,2016,2016-02
BJFT85482225,2013-04-01,116.423673,39.864377,2,1.0,32036,200.0,2013,2013-04
BJFT91403563,2016-02-06,116.441833,39.866749,2,1.0,39845,256.0,2016,2016-02
101100417319,2016-08-17,116.338225,40.08248,6,1.0,35683,343.8,2016,2016-08
